2024,4,23,c,100000.0,
2024,4,23,w,148.0,
2024,4,24,c,2000.0,
2024,4,24,w,150.0,
2024,4,24,f,Pizza Slice,3.0,
2024,4,25,c,2000.0,
2024,4,25,w,150.0,
2024,4,25,f,Yogurt (4oz),2.0,
2024,4,25,f,Hamburger,1.0,
2024,4,25,f,Potato Salad (cup),1.0,
2023,9,30,c,2000.0,
2023,9,30,w,150.0,
2023,9,30,f,Yogurt (4oz),2.0,
2023,9,30,f,PB+J Sandwich,1.0,
2023,9,30,f,Cola (can),1.0,
2023,9,30,f,Pizza Slice,1.5,
2023,9,30,f,Cola (can),1.0,
2023,9,30,f,Yogurt (4oz),1.0,
2023,9,29,c,2000.0,
2023,9,29,w,200.5,
2023,9,29,f,Yogurt (4oz),1.0,
2023,9,29,f,Questionable Meal,1.0,
2023,9,29,f,Pizza Slice,2.0,
2023,9,29,e,Sprinting,100.0,
